Player,AGE,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,PF,PTS
A.C. Green 1996-97,33.0,30.1,2.8,5.8,0.483,0.0,0.2,0.05,1.5,2.4,0.65,2.7,5.2,7.9,0.8,0.8,0.2,1.7,7.2
Aaron McKie 1996-97,24.0,19.6,1.8,4.4,0.411,0.5,1.2,0.398,1.1,1.3,0.836,0.5,2.2,2.7,1.9,0.9,0.3,1.6,5.2
Aaron Williams 1996-97,25.0,17.0,2.6,4.5,0.574,0.0,0.0,0.0,1.0,1.5,0.673,1.9,2.5,4.3,0.5,0.5,0.9,2.2,6.2
Acie Earl 1996-97,27.0,10.6,1.4,3.8,0.374,0.0,0.1,0.0,1.1,1.8,0.643,0.7,1.3,2.0,0.4,0.3,0.6,1.3,4.0
Adam Keefe 1996-97,27.0,14.8,1.3,2.6,0.513,0.0,0.0,0.0,1.1,1.7,0.689,1.2,2.3,3.5,0.5,0.5,0.2,1.6,3.8
Adrian Caldwell 1996-97,30.0,12.7,0.9,2.0,0.435,0.0,0.0,0.0,0.5,1.1,0.42,1.3,2.4,3.7,0.3,0.4,0.2,1.9,2.2
Alan Henderson 1996-97,24.0,16.6,2.6,5.4,0.475,0.0,0.0,0.0,1.5,2.5,0.6,1.6,2.3,3.9,0.8,0.7,0.2,2.4,6.6
Aleksandar Djordjevic 1996-97,29.0,7.8,1.0,2.0,0.5,0.6,0.9,0.714,0.5,0.6,0.8,0.1,0.5,0.6,0.6,0.0,0.0,0.4,3.1
Allan Houston 1996-97,26.0,33.1,5.4,12.7,0.423,1.8,4.7,0.385,2.2,2.7,0.803,0.5,2.4,3.0,2.2,0.5,0.2,2.9,14.8
Alton Lister 1996-97,38.0,9.7,0.6,1.5,0.416,0.0,0.0,0.0,0.4,0.6,0.742,1.2,1.9,3.2,0.2,0.2,0.3,1.8,1.6
Amal McCaskill 1996-97,23.0,6.4,0.6,1.9,0.313,0.0,0.1,0.0,0.5,0.7,0.667,0.2,1.1,1.3,0.4,0.2,0.3,0.4,1.6
Andrew DeClercq 1996-97,24.0,15.0,2.0,3.8,0.52,0.0,0.0,0.0,1.3,2.1,0.603,1.7,2.5,4.2,0.5,0.5,0.4,3.2,5.3
Andrew Lang 1996-97,31.0,23.0,2.2,4.8,0.464,0.0,0.0,0.0,0.8,1.2,0.721,1.8,3.5,5.3,0.5,0.5,0.9,2.7,5.3
Anthony Goldwire 1996-97,25.0,19.9,2.2,5.5,0.397,1.1,2.6,0.418,1.0,1.3,0.782,0.2,1.2,1.4,3.7,0.6,0.0,1.7,6.5
Anthony Peeler 1996-97,27.0,31.8,5.6,14.0,0.398,1.8,4.8,0.373,1.5,1.8,0.82,0.8,2.7,3.4,3.6,1.5,0.2,2.3,14.5
Antoine Carr 1996-97,35.0,17.8,3.1,6.4,0.483,0.0,0.0,0.0,1.2,1.5,0.78,0.7,1.6,2.4,0.9,0.3,0.8,2.6,7.4
