slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals,Season
ricegl01,Glen Rice,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29,Team.CHARLOTTE_HORNETS,79,3362,19.7,0.605,0.291,0.354,2.5,8.8,5.7,8.8,1.2,0.6,9.2,26.9,9.6,1.2,10.8,0.154,3.9,-2.1,1.8,3.2,False,1996-97
sprewla01,Latrell Sprewell,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.GOLDEN_STATE_WARRIORS,80,3353,19.7,0.57,0.287,0.405,2.1,10.9,6.5,27.0,2.1,1.0,15.9,26.9,7.0,1.1,8.1,0.115,3.8,-1.1,2.7,4.0,False,1996-97
howarju01,Juwan Howard,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,Team.WASHINGTON_BULLETS,82,3324,16.1,0.529,0.002,0.296,7.2,15.6,11.5,15.2,1.5,0.5,14.2,23.4,3.3,3.7,7.0,0.101,0.1,-0.5,-0.3,1.4,False,1996-97
stoudda01,Damon Stoudamire,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.TORONTO_RAPTORS,81,3311,18.1,0.516,0.353,0.285,3.0,8.9,5.8,38.2,2.0,0.3,15.4,25.3,5.8,1.8,7.6,0.11,3.4,-1.6,1.8,3.1,False,1996-97
paytoga01,Gary Payton,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.SEATTLE_SUPERSONICS,82,3213,21.8,0.545,0.256,0.24,4.0,10.2,7.1,33.8,3.3,0.3,11.6,26.4,8.2,4.7,12.9,0.193,4.4,1.1,5.5,6.1,False,1996-97
gillke01,Kendall Gill,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28,Team.NEW_JERSEY_NETS,82,3199,19.6,0.53,0.151,0.369,5.8,11.4,8.4,18.3,2.5,1.1,11.4,25.4,6.6,2.2,8.8,0.132,2.8,0.1,2.9,4.0,False,1996-97
millsch01,Chris Mills,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],27,Team.CLEVELAND_CAVALIERS,80,3167,14.1,0.544,0.246,0.234,4.8,15.8,10.2,11.3,1.6,1.2,10.9,17.5,4.1,4.7,8.9,0.134,0.3,0.8,1.1,2.5,False,1996-97
stackje01,Jerry Stackhouse,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.PHILADELPHIA_76ERS,81,3166,14.1,0.524,0.261,0.51,5.2,6.4,5.8,13.5,1.5,1.4,16.5,25.6,1.9,0.2,2.1,0.032,-0.1,-2.2,-2.2,-0.2,False,1996-97
bakervi01,Vin Baker,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,Team.MILWAUKEE_BUCKS,78,3159,20.1,0.553,0.043,0.416,10.4,20.7,15.6,12.1,1.4,2.7,14.2,25.3,4.9,3.4,8.3,0.127,2.1,-0.1,2.0,3.2,False,1996-97
hillgr01,Grant Hill,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.DETROIT_PISTONS,80,3147,25.5,0.556,0.026,0.503,5.0,23.1,14.2,36.0,2.6,1.3,14.4,28.3,8.7,5.9,14.6,0.223,5.4,2.7,8.2,8.0,False,1996-97
masonan01,Anthony Mason,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,Team.CHARLOTTE_HORNETS,73,3143,18.9,0.585,0.004,0.519,7.4,24.0,16.0,21.4,1.3,0.8,14.0,17.6,8.0,3.3,11.4,0.173,2.6,0.8,3.5,4.3,False,1996-97
laettch01,Christian Laettner,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27,Team.ATLANTA_HAWKS,82,3140,19.1,0.562,0.078,0.39,8.2,18.9,13.7,13.3,1.8,1.6,14.2,23.1,6.1,5.4,11.6,0.177,1.4,1.0,2.5,3.5,False,1996-97
hardati01,Tim Hardaway,[<Position.POINT_GUARD: 'POINT GUARD'>],30,Team.MIAMI_HEAT,81,3136,20.8,0.532,0.426,0.263,1.9,8.5,5.2,41.9,2.6,0.2,13.0,26.6,7.9,5.0,12.9,0.198,5.2,1.0,6.2,6.5,False,1996-97
guglito01,Tom Gugliotta,[<Position.POWER_FORWARD: 'POWER FORWARD'>],27,Team.MINNESOTA_TIMBERWOLVES,81,3131,19.0,0.526,0.069,0.423,7.1,19.3,13.3,19.3,2.2,2.1,15.6,27.5,2.6,4.2,6.7,0.103,1.2,0.5,1.7,2.9,False,1996-97
chrisdo01,Doug Christie,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,Team.TORONTO_RAPTORS,81,3127,15.1,0.543,0.404,0.322,3.1,13.4,8.1,16.7,3.4,1.1,15.6,18.4,3.3,3.6,7.0,0.107,0.0,1.7,1.7,2.9,False,1996-97
richmmi01,Mitch Richmond,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31,Team.SACRAMENTO_KINGS,81,3125,21.6,0.578,0.302,0.337,2.2,9.8,6.0,20.6,2.0,0.6,11.6,29.4,8.7,2.1,10.8,0.166,5.2,-0.6,4.6,5.2,False,1996-97
robingl01,Glenn Robinson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],24,Team.MILWAUKEE_BUCKS,80,3114,17.5,0.528,0.125,0.253,5.1,14.6,9.9,14.8,1.8,1.6,14.4,27.8,2.0,2.7,4.7,0.072,1.3,-0.7,0.7,2.1,False,1996-97
jordami01,Michael Jordan,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33,Team.CHICAGO_BULLS,82,3106,27.8,0.567,0.157,0.304,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,13.3,5.0,18.3,0.283,7.8,1.1,8.9,8.6,False,1996-97
pippesc01,Scottie Pippen,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31,Team.CHICAGO_BULLS,82,3095,21.3,0.554,0.31,0.213,5.9,13.3,9.7,24.3,2.7,1.1,12.5,24.6,7.8,5.2,13.1,0.203,4.3,1.4,5.7,6.1,False,1996-97
smithjo02,Joe Smith,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21,Team.GOLDEN_STATE_WARRIORS,80,3086,16.0,0.512,0.036,0.292,10.0,16.1,13.1,7.2,1.3,2.1,11.6,23.8,3.1,1.3,4.4,0.068,-0.3,-2.0,-2.3,-0.2,False,1996-97
anderke01,Kenny Anderson,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.PORTLAND_TRAIL_BLAZERS,82,3081,19.5,0.54,0.322,0.383,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,8.0,4.4,12.4,0.193,3.2,1.2,4.4,5.0,False,1996-97
robincl02,Clifford Robinson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30,Team.PORTLAND_TRAIL_BLAZERS,81,3077,13.1,0.519,0.336,0.296,3.6,8.7,6.2,13.9,1.7,1.7,12.7,19.8,2.9,3.7,6.6,0.103,0.0,0.5,0.6,2.0,False,1996-97
blaylmo01,Mookie Blaylock,[<Position.POINT_GUARD: 'POINT GUARD'>],29,Team.ATLANTA_HAWKS,78,3056,20.4,0.548,0.521,0.15,4.6,11.4,8.1,27.7,3.8,0.5,13.0,21.9,7.0,5.6,12.5,0.197,4.3,2.4,6.8,6.8,False,1996-97
jacksma01,Mark Jackson,[<Position.POINT_GUARD: 'POINT GUARD'>],31,Team.DENVER_NUGGETS,52,2001,16.2,0.528,0.268,0.301,4.1,11.3,7.7,50.0,1.3,0.3,25.2,15.3,3.6,0.5,4.0,0.097,2.2,-1.4,0.7,1.4,False,1996-97
jacksma01,Mark Jackson,[<Position.POINT_GUARD: 'POINT GUARD'>],31,Team.INDIANA_PACERS,30,1053,14.8,0.519,0.251,0.339,2.3,11.6,7.0,44.8,2.4,0.2,28.1,15.9,0.8,1.3,2.1,0.096,1.7,0.1,1.8,1.0,False,1996-97
iversal01,Allen Iverson,[<Position.POINT_GUARD: 'POINT GUARD'>],21,Team.PHILADELPHIA_76ERS,76,3045,18.0,0.513,0.303,0.362,4.0,7.2,5.6,33.6,2.6,0.6,16.2,28.9,3.1,1.0,4.1,0.065,2.5,-1.6,0.9,2.2,False,1996-97
hunteli01,Lindsey Hunter,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.DETROIT_PISTONS,82,3023,13.4,0.515,0.449,0.195,2.5,7.0,4.8,8.9,2.4,0.7,7.8,20.1,3.0,3.4,6.4,0.101,0.0,0.5,0.5,1.9,False,1996-97
kittlke01,Kerry Kittles,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.NEW_JERSEY_NETS,82,3012,16.0,0.523,0.352,0.191,3.6,8.1,5.7,14.0,2.7,0.9,9.0,20.1,5.1,1.8,6.9,0.11,1.4,0.4,1.8,2.9,False,1996-97
malonka01,Karl Malone,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33,Team.UTAH_JAZZ,82,2998,28.9,0.6,0.008,0.439,8.5,24.2,16.8,24.5,2.0,1.3,11.1,32.7,11.6,5.1,16.7,0.268,7.1,1.2,8.3,7.8,False,1996-97
jonesed02,Eddie Jones,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.LOS_ANGELES_LAKERS,80,2998,17.3,0.559,0.36,0.312,3.5,8.9,6.2,15.0,3.3,1.2,12.1,20.9,5.3,4.3,9.6,0.154,1.5,1.9,3.3,4.0,False,1996-97
stricro02,Rod Strickland,[<Position.POINT_GUARD: 'POINT GUARD'>],30,Team.WASHINGTON_BULLETS,82,2997,19.7,0.533,0.07,0.45,3.8,9.2,6.5,38.1,2.5,0.3,16.9,23.9,5.5,3.3,8.8,0.141,2.8,0.0,2.7,3.6,False,1996-97
garneke01,Kevin Garnett,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],20,Team.MINNESOTA_TIMBERWOLVES,77,2995,18.2,0.537,0.019,0.247,7.6,16.8,12.2,14.1,1.9,4.1,12.5,21.3,3.4,3.9,7.3,0.116,1.1,1.1,2.2,3.2,False,1996-97
wesleda01,David Wesley,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.BOSTON_CELTICS,74,2991,16.5,0.563,0.294,0.296,2.4,8.2,5.1,29.1,2.7,0.3,16.1,18.8,5.0,1.1,6.1,0.097,1.1,-0.6,0.6,1.9,False,1996-97
mutomdi01,Dikembe Mutombo,[<Position.CENTER: 'CENTER'>],30,Team.ATLANTA_HAWKS,80,2973,19.0,0.584,0.0,0.602,11.0,25.9,18.6,6.4,0.9,7.0,16.9,17.4,4.7,6.6,11.3,0.183,0.3,2.4,2.6,3.5,False,1996-97
walkean02,Antoine Walker,[<Position.POWER_FORWARD: 'POWER FORWARD'>],20,Team.BOSTON_CELTICS,82,2970,15.5,0.474,0.117,0.27,10.4,19.0,14.4,15.3,1.8,1.3,13.2,25.2,0.0,1.7,1.7,0.027,-0.3,-1.8,-2.1,-0.1,False,1996-97
millere01,Reggie Miller,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],31,Team.INDIANA_PACERS,81,2966,20.2,0.603,0.431,0.382,2.2,9.2,5.8,17.4,1.4,0.7,10.3,25.2,9.6,2.7,12.3,0.2,5.8,0.0,5.8,5.8,False,1996-97
weathcl01,Clarence Weatherspoon,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,Team.PHILADELPHIA_76ERS,82,2949,14.2,0.537,0.007,0.344,7.9,17.4,12.5,7.6,1.3,2.1,12.8,15.3,3.4,1.6,5.0,0.081,-0.6,-0.6,-1.2,0.6,False,1996-97
ellisda01,Dale Ellis,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],36,Team.DENVER_NUGGETS,82,2940,12.9,0.537,0.459,0.228,3.9,7.4,5.7,9.8,1.1,0.2,10.3,21.5,3.2,0.0,3.1,0.051,0.4,-2.3,-1.9,0.0,False,1996-97
